"word1","word2","word3","word4","freq"
"-","one","quarter","-",2
"-","pdt","washington","ap",2
"-","people","canada","suspect",2
"-","play","bullpen","game",2
"-b","words","theyd","already",2
"-gb","hard","drive","one",2
"-gb","hard","drives","units",2
"-house","morale","might","just",2
"-square-foot","home","pool","built",2
"-star","higher","obp","slugging",2
"-year","career","told","daily",2
"academically","almost","two-thirds","middle",2
"access","students","need","classes",2
"accessing","vending","machine","contents",2
"according","bureau","labor","statistics",2
"account","seasons","cycle","seasons",2
"acquire","new","pre-owned","vehicle",2
"across","can","just","feel",2
"act","section","bit","need",2
"action","can","also","throw",2
"actions","people","comes","across",2
"actually","three","different","official",2
"add","onion","saute","translucent",2
"add","remaining","flour","cup",2
"add","wet","ingredients","dry",2
"added","agency","looks","forward",2
"adding","likely","dropped","grassy",2
"address","roughly","third","will",2
"addressing","financial","problems","said",2
"admit","blood","doping","testosterone",2
"admit","idea","everyone","use",2
"advertising","budget","spent","attempting",2
"advertising","fees","advertising","linking",2
"advertising","linking","amazoncom","amazonca",2
"adviser","arts","culture","cleveland",2
"affiliation","tea","party","group",2
"age","crown","prince","range",2
"agencies","made","substantial","investments",2
"agency","looks","forward","discussing",2
"ago","celebrate","summers","brucker",2
"ago","scoffed","previews","revenge",2
"agriculture","water","management","soil",2
"ah","high","school","boys",2
"ahead","curve","addressing","financial",2
"aint","good","eyes","just",2
"alcohol","last","year","percent",2
"aldermanic","president","lewis","reed",2
"ale","stars","friends","secretly",2
"alex","len","also","eight",2
"alex","tesone","field","pm",2
"allege","ravi","intentionally","set",2
"almost","made","fall","asleep",2
"almost","two-thirds","middle","schools",2
"along","new","weekly","recap",2
"along","support","event","ale",2
"alpha","ended","th","daddy",2
"already","readily","available","fox",2
"already","spent","two","years",2
"also","eight","points","second",2
"also","nearby","rivoli","opened",2
"also","played","receiver","connected",2
"also","skill","love","get",2
"also","throw","-","play",2
"although","end","era","signalled",2
"always","count","can","use",2
"always","say","never","say",2
"amazon","eu","associates","programmes",2
"amazon","eu","content","provided",2
"amazon","services","llc","amazon",2
"amazon","services","llc","andor",2
"amazonca","amazoncouk","amazonde","amazonfr",2
"amazoncom","amazonca","amazoncouk","amazonde",2
"amazoncouk","amazonde","amazonfr","amazonit",2
"amazonde","amazonfr","amazonit","amazones",2
"amazones","certain","content","appears",2
"amazonfr","amazonit","amazones","certain",2
"amazonit","amazones","certain","content",2
"among","law","enforcement","officers",2
"among","top","percent","academically",2
"amusing","call","education","urd",2
"anacortes","community","forest","lands",2
"analysts","mf","global","woodside",2
"andor","amazon","eu","content",2
"ann","davis","added","agency",2
"anniversary","versatile","set","can",2
"announced","barely","thirty","minutes",2
"announcing","million","donation","newark",2
"annually","rainwater","basin","venture",2
"another","colors","rose","coupled",2
"another","day","another","dollar",2
"another","dog","little","insight",2
"answer","b","love","voice",2
"anticlockwise","turning","force","right-handed",2
"anyone","tv","strong","stomach",2
"anything","care","aside","fact",2
"anyway","doesnt","help","words",2
"api","similar","school","score",2
"api","similar","schools","score",2
"apparent","time","although","end",2
"apparently","one","asked","consumers",2
"appears","website","comes","amazon",2
"approved","prevent","healthy","people",2
"approximately","million","annually","rainwater",2
"arabia","uses","lunar","hijri",2
"arabic","dates","western","calendar",2
"area","alongside","back","house",2
"argento","chase","cheltenham","january",2
"argue","plan","provides","interim",2
"argument","time","prepare","arnos",2
"arm","kind","got","away",2
"arm","slot","feels","right",2
"arms","hugged","almost","made",2
"armstrong","similar","reasons","seems",2
"armstrong","will","admit","blood",2
"armstrongs","camp","says","hamilton",2
"arnos","attorney","eric","shenkus",2
"aromas","combine","together","formula",2
"around","around","around","around",2
"around","truly","untested","buy",2
"around","weve","suffered","four",2
"article","kleins","said","aware",2
"article","notes","expensive","run",2
"arts","culture","cleveland","foundation",2
"aside","fact","falling","love",2
"ask","well","guess","tried",2
"asked","consumers","whether","good",2
"asleep","sad","pathetic","life",2
"assemble","spew","collective","invective",2
"assembly","speaker","sheila","oliver",2
"assemblyman","reed","gusciora","d-mercer",2
"assessment","nebraskas","rainwater","basin",2
"associated","press","thursday","warrens",2
"associates","programmes","designed","provide",2
"association","realtors","said","thursday",2
"ate","food","grew","pooped",2
"athletic","director","tim","pernetti",2
"athletic","funny","popularthe","epitimy",2
"atmosphere","local","colour","fragrant",2
"attempting","acquire","new","pre-owned",2
"attorney","eric","shenkus","told",2
"attorney","steve","scheffler","said",2
"attorney","western","district","virginia",2
"australia","rocks","market","intend",2
"austreamso","can","u","record",2
"authorities","offering","reward","information",2
"authority","new","york","new",2
"authors","lifetime","plus","years",2
"autonomous","board","without","family",2
"available","fox","news","anyone",2
"average","rate","-year","fixed",2
"averaging","points","rebounds","percent",2
"avian","species","dependent","region",2
"avoid","using","proper","nouns",2
"aware","competitive","retailers","market",2
"away","either","going","-",2
"away","exhausting","task","improving",2
"awesome","prize","one","lucky",2
"awkward","moment","ur","park",2
"b","love","voice","hair",2
"b","rickie","weeks","nl",2
"back","next","days","see",2
"back","now","got","action",2
"background","remind","horror","stories",2
